   ONERA M6 WING  M=0.84  A=3.06 EXPERIMENTAL DATA
    32       .8501      +.0430
    33       .9201      +.1320
    34       .9850      +.2250
SPAN STATION 5 PRESSURES  ETA=.90 
   14   31         .90
  LOWER SURFACE  (PORT, X/C, Cp)
     1       .9498       .1500
     2       .8495      +.0300
     3       .7500      -.0620
     4       .6500      -.1300
     5       .5498      -.2700
     6       .4499      -.2680
     7       .3502      -.2880
     8       .2501      -.2770
     9       .1505      -.1820
    10       .1003      -.1210
    11       .0655      -.0780
    12       .0403      -.0790
    13       .0203      -.0180
    14       .0059      +.5620 
  UPPER SURFACE  (PORT, X/C, Cp)
    12       .0006       .7260
    13       .0018      -.1820
    14       .0063      -.1810
    15       .0123      -.5760
    16       .0201      -.9850
    17       .0299     -1.1870
    18       .0497     -1.1940
    19       .0745     -1.1400 
    20       .0999     -1.0930
    21       .1399     -1.0480
    22       .1798     -1.0020
    23       .2201      -.9990
    24       .2596      -.9810
    25       .2998      -.3410
    26       .3399      -.1950
    27       .3799      -.1800
    28       .4196      -.2080
    29       .4598      -.2380
    30       .4996      -.2200
    31       .5396      -.2000
    32       .5796      -.1620
    33       .6199      -.1380
    34       .6597      -.1070
    31       .6997      -.0850
    32       .7394      -.0570
    33       .7796      -.0210
    34       .8194      +.0210
    31       .8596      +.0590
    32       .8994      +.0990
    33       .9473      +.1560
    34       .9851      +.2110
SPAN STATION 6 PRESSURES  ETA=.95 
   14   31         .95
  LOWER SURFACE  (PORT, X/C, Cp)
     1       .9495       .1260
     2       .8493      +.0210
     3       .7496      -.0560
     4       .6498      -.1210
     5       .5495      -.1730
     6       .4498      -.2400
     7       .3499      -.2540
     8       .2499      -.3010
     9       .1500      -.2930
    10       .1002      -.2410
    11       .0652      -.1700
    12       .0399      -.1580
    13       .0199      -.0740
    14       .0057      +.5100
  UPPER SURFACE  (PORT, X/C, Cp)
    12       .0006       .6900
    13       .0019       .2290
    14       .0062      -.1520
    15       .0121      -.5980
    16       .0198      -.9830
    17       .0299     -1.1960
    18       .0497     -1.2270
    19       .0749     -1.1770
    20       .0999     -1.1340
    21       .1398     -1.1270
    22       .1799     -1.1360
    23       .2201      -.5590
    24       .2600      -.2820
    25       .2999      -.1590
    26       .3401      -.1790
    27       .3799      -.2180
    28       .4199      -.2380
    29       .4597      -.2420
    30       .4999      -.2160
    31       .5399      -.1970
    32       .5799      -.1520
    33       .6179      -.1260
    34       .6598      -.1040
    31       .6998      -.0740
    32       .7397      -.0560
    33       .7796      -.0270
    34       .8196      +.0090
    31       .8598      +.0400
    32       .8998      +.0720
    33       .9486      +.1220
    34       .9846      +.1780
SPAN STATION 7 PRESSURES  ETA=.99 
   14   31         .99
  LOWER SURFACE  (PORT, X/C, Cp)
     1       .9495       .0700
     2       .8496      -.0090
     3       .7500      -.0720
     4       .6496      -.1180
     5       .5497      -.1650
     6       .4497      -.2170
     7       .3497      -.2300
     8       .2498      -.2740
     9       .1500      -.3180
    10       .1004      -.3420
    11       .0654      -.3760
    12       .0403      -.3360
    13       .0199      -.2270
    14       .0058      +.3150 
  UPPER SURFACE  (PORT, X/C, Cp)
    12       .0005       .6360
    13       .0019      +.2100
    14       .0063      -.2540
    15       .0127      -.6510
    16       .0201     -1.0180
    17       .0299     -1.2440
    18       .0500     -1.2910
    19       .0748     -1.2750 
    20       .0999     -1.2090
    21       .1398     -0.9180
    22       .1799     -0.7850
    23       .2199      -.2450
    24       .2598      -.2070
    25       .2999      -.2190
    26       .3398      -.2340
    27       .3798      -.2460
    28       .4199      -.2720
    29       .4597      -.2450
    30       .4999      -.2330
    31       .5398      -.2130
    32       .5799      -.1920
    33       .6198      -.1820
    34       .6597      -.1760
    31       .6998      -.1750
    32       .7398      -.1820
    33       .7794      -.1950
    34       .8199      -.2180
    31       .8594      -.2380
    32       .8996      -.2560
    33       .9496      -.2800
    34       .9846      -.2180
